customer_id,market,acquisition_channel,acquisition_date
C00001,LT,Paid Search,2025-05-21
C00002,LV,Organic Search,2025-01-04
C00003,LT,Organic Search,2025-01-24
C00004,LT,CRM,2025-01-29
C00005,LV,Paid Search,2025-10-15
C00006,LT,Paid Social,2025-08-28
C00007,LV,Paid Search,2025-01-02
C00008,LV,Organic Search,2025-07-11
C00009,LV,Paid Search,2025-09-06
C00010,LV,Paid Social,2025-01-28
C00011,EE,Paid Search,2025-10-09
C00012,LV,Paid Search,2025-07-19
C00013,LT,Paid Search,2025-10-27
C00014,LV,Affiliate,2025-05-07
C00015,LV,Affiliate,2025-02-07
C00016,LV,Paid Search,2025-10-06
C00017,LV,Paid Social,2025-05-22
C00018,LT,CRM,2025-10-26
C00019,EE,Paid Search,2025-06-20
C00020,EE,Paid Social,2025-09-18
C00021,LV,CRM,2025-08-12
C00022,LV,Organic Search,2025-07-14
C00023,EE,CRM,2025-06-08
C00024,LT,Paid Search,2025-01-03
C00025,LT,Organic Search,2025-05-03
C00026,LV,Organic Search,2025-08-01
C00027,LV,Paid Social,2025-08-03
C00028,EE,Affiliate,2025-10-01
C00029,LV,Paid Social,2025-07-14
C00030,EE,Paid Search,2025-01-11
C00031,LV,Organic Search,2025-05-05
C00032,LV,Paid Social,2025-09-08
C00033,LV,Paid Search,2025-02-14
C00034,LV,Paid Search,2025-05-24
C00035,LV,CRM,2025-05-22
C00036,LV,Paid Search,2025-09-02
C00037,LV,CRM,2025-04-26
C00038,LV,Organic Search,2025-03-18
C00039,LV,Organic Search,2025-09-09
C00040,EE,Organic Search,2025-03-20
C00041,EE,Paid Social,2025-08-01
C00042,LT,Paid Social,2025-10-10
C00043,EE,Paid Social,2025-09-27
C00044,LV,Organic Search,2025-05-28
C00045,LV,Paid Search,2025-03-12
C00046,LT,Paid Social,2025-02-28
C00047,LV,Paid Search,2025-07-08
C00048,LV,Paid Search,2025-10-03
C00049,LT,Affiliate,2025-05-24
C00050,EE,Affiliate,2025-08-21
C00051,EE,Organic Search,2025-10-28
C00052,LV,Paid Social,2025-05-02
C00053,LV,Paid Search,2025-01-23
C00054,LV,Organic Search,2025-02-20
C00055,LV,Paid Search,2025-07-10
C00056,LT,CRM,2025-10-15
C00057,LT,Paid Social,2025-04-21
C00058,LV,Organic Search,2025-09-14
C00059,LT,Organic Search,2025-08-02
C00060,LV,Paid Social,2025-06-23
C00061,LV,Paid Search,2025-04-12
C00062,EE,Organic Search,2025-03-19
C00063,EE,Paid Search,2025-02-16
C00064,LT,Organic Search,2025-07-06
C00065,LT,Organic Search,2025-03-18
C00066,EE,Organic Search,2025-09-27
C00067,LT,Organic Search,2025-09-27
C00068,LT,Paid Search,2025-07-06
C00069,EE,CRM,2025-03-12
C00070,LV,Affiliate,2025-08-30
C00071,LT,Paid Search,2025-09-21
C00072,LV,Organic Search,2025-09-17
C00073,EE,Paid Social,2025-04-04
C00074,LV,Paid Social,2025-07-24
C00075,LV,Paid Search,2025-06-30
C00076,LT,Affiliate,2025-07-10
C00077,LV,Paid Search,2025-08-17
C00078,EE,Affiliate,2025-06-13
C00079,LV,Paid Social,2025-07-04
C00080,LT,CRM,2025-02-07
C00081,LT,CRM,2025-03-05
C00082,LV,Affiliate,2025-05-21
C00083,EE,Paid Search,2025-01-24
C00084,EE,Affiliate,2025-06-10
C00085,LV,Paid Social,2025-01-26
C00086,LV,Organic Search,2025-04-10
C00087,LV,CRM,2025-06-23
C00088,LT,Paid Social,2025-01-09
C00089,LT,Organic Search,2025-03-29
C00090,LV,Paid Search,2025-09-14
C00091,EE,Affiliate,2025-05-28
C00092,LT,CRM,2025-04-20
C00093,LV,Paid Social,2025-08-30
C00094,LT,Paid Social,2025-05-27
C00095,EE,Paid Social,2025-09-11
C00096,EE,Organic Search,2025-09-10
C00097,LV,Paid Social,2025-05-01
C00098,LV,Paid Search,2025-03-10
C00099,LT,Paid Social,2025-10-16
C00100,LV,Paid Social,2025-01-29
C00101,LV,Organic Search,2025-10-05
C00102,LT,CRM,2025-05-07
C00103,LV,Organic Search,2025-08-17
C00104,LV,Paid Search,2025-03-31
C00105,LT,Paid Search,2025-05-05
C00106,EE,Paid Search,2025-10-28
C00107,LT,Paid Social,2025-05-14
C00108,LV,Organic Search,2025-10-27
C00109,LV,Affiliate,2025-01-31
C00110,LV,Paid Social,2025-01-31
C00111,EE,Affiliate,2025-02-24
C00112,LV,Affiliate,2025-10-18
C00113,EE,Paid Social,2025-10-16
C00114,LV,Paid Social,2025-02-08
C00115,LV,Organic Search,2025-05-07
C00116,LT,Organic Search,2025-06-16
C00117,LV,Paid Social,2025-07-14
C00118,LV,Affiliate,2025-04-13
C00119,LT,Paid Search,2025-06-05
C00120,LT,CRM,2025-07-04
C00121,LV,Paid Social,2025-09-14
C00122,LV,Paid Social,2025-08-20
C00123,LT,Organic Search,2025-06-19
C00124,LV,CRM,2025-02-02
C00125,LT,Paid Social,2025-05-03
C00126,LT,Paid Social,2025-03-13
C00127,LT,Paid Social,2025-03-27
C00128,LT,Paid Search,2025-02-28
C00129,EE,Paid Search,2025-05-15
C00130,LV,Paid Search,2025-04-16
C00131,LV,Paid Social,2025-05-07
C00132,LT,Organic Search,2025-02-02
C00133,EE,Paid Social,2025-03-09
C00134,LV,Organic Search,2025-03-03
C00135,EE,Paid Search,2025-10-19
C00136,LT,Paid Social,2025-08-01
C00137,LT,Paid Social,2025-02-03
C00138,LV,Organic Search,2025-01-06
C00139,LT,Paid Search,2025-08-08
C00140,EE,Organic Search,2025-03-01
C00141,LT,Affiliate,2025-08-03
C00142,EE,CRM,2025-06-09
C00143,LT,Organic Search,2025-05-06
C00144,LV,Affiliate,2025-03-14
C00145,LT,CRM,2025-06-12
C00146,EE,Paid Search,2025-06-07
C00147,LV,Paid Search,2025-06-03
C00148,EE,Affiliate,2025-03-08
C00149,LV,Affiliate,2025-01-26
C00150,LV,Paid Search,2025-05-06
C00151,LV,Paid Search,2025-04-23
C00152,LT,Affiliate,2025-10-22
C00153,LT,Paid Search,2025-04-30
C00154,LT,Paid Social,2025-06-15
C00155,LV,Organic Search,2025-03-31
C00156,EE,Affiliate,2025-04-24
C00157,LV,Paid Search,2025-05-08
C00158,LV,Paid Social,2025-02-23
C00159,EE,Paid Search,2025-08-11
C00160,LV,Paid Social,2025-08-07
C00161,LT,Organic Search,2025-02-16
C00162,EE,CRM,2025-08-03
C00163,LT,Paid Social,2025-03-30
C00164,EE,Paid Social,2025-05-24
C00165,LV,Organic Search,2025-07-26
C00166,LV,CRM,2025-09-16
C00167,LV,Paid Social,2025-03-25
C00168,LV,Paid Social,2025-06-28
C00169,LT,Organic Search,2025-05-25
C00170,EE,CRM,2025-07-26
C00171,LV,Paid Social,2025-05-13
C00172,LV,Paid Search,2025-03-03
C00173,LV,Affiliate,2025-07-16
C00174,LV,Paid Social,2025-06-06
C00175,LV,Paid Search,2025-07-26
C00176,LT,Paid Search,2025-02-25
C00177,LV,Paid Search,2025-04-12
C00178,EE,Organic Search,2025-08-22
C00179,LT,Paid Social,2025-07-14
C00180,LV,CRM,2025-09-04
C00181,LV,Paid Social,2025-05-04
C00182,LV,Paid Social,2025-01-10
C00183,LV,Paid Search,2025-04-25
C00184,LV,Organic Search,2025-03-05
C00185,LT,Paid Social,2025-05-08
C00186,LT,Affiliate,2025-04-22
C00187,LT,Organic Search,2025-08-02
C00188,LV,CRM,2025-10-15
C00189,LV,Paid Social,2025-10-12
C00190,LT,Organic Search,2025-07-03
C00191,LV,Paid Search,2025-06-19
C00192,EE,Organic Search,2025-06-14
C00193,LV,Affiliate,2025-04-09
C00194,LV,CRM,2025-08-11
C00195,LT,Organic Search,2025-02-07
C00196,LV,Organic Search,2025-03-11
C00197,EE,CRM,2025-03-14
C00198,LV,Paid Search,2025-02-20
C00199,LV,Organic Search,2025-10-27
C00200,EE,Paid Social,2025-07-03
C00201,EE,Organic Search,2025-10-06
C00202,LT,Paid Social,2025-07-04
C00203,LV,Organic Search,2025-02-09
C00204,LV,Paid Search,2025-09-21
C00205,EE,Paid Search,2025-03-27
C00206,LV,CRM,2025-03-15
C00207,EE,CRM,2025-08-09
C00208,LV,Paid Search,2025-04-30
C00209,LV,Paid Social,2025-06-26
C00210,LV,Organic Search,2025-02-15
C00211,LT,Paid Social,2025-04-14
C00212,LT,Organic Search,2025-10-26
C00213,LT,Paid Social,2025-06-24
C00214,LV,Affiliate,2025-09-01
C00215,LV,CRM,2025-07-02
C00216,LT,Affiliate,2025-09-19
C00217,LV,Paid Search,2025-09-23
C00218,LV,Paid Social,2025-04-18
C00219,EE,Organic Search,2025-07-15
C00220,LV,Paid Search,2025-04-21
C00221,LV,Paid Social,2025-08-17
C00222,LT,Affiliate,2025-10-28
C00223,LV,Paid Social,2025-02-18
C00224,LV,CRM,2025-08-15
C00225,EE,Paid Social,2025-04-27
C00226,LV,Affiliate,2025-08-12
C00227,LV,CRM,2025-05-18
C00228,EE,Paid Social,2025-03-06
C00229,LT,Paid Search,2025-02-11
C00230,LV,Affiliate,2025-04-22
C00231,LT,Paid Social,2025-10-18
C00232,LV,Paid Search,2025-07-07
C00233,LT,Paid Social,2025-10-10
C00234,LV,Paid Social,2025-02-20
C00235,EE,CRM,2025-08-28
C00236,EE,Paid Search,2025-04-03
C00237,EE,Paid Social,2025-05-04
C00238,EE,Organic Search,2025-09-23
C00239,LV,Paid Social,2025-03-12
C00240,LT,Paid Search,2025-10-23
C00241,LT,Paid Search,2025-09-15
C00242,LT,Paid Social,2025-04-12
C00243,LV,Paid Social,2025-06-14
C00244,LV,CRM,2025-02-13
C00245,LT,Paid Search,2025-10-07
C00246,LV,CRM,2025-05-19
C00247,EE,Paid Social,2025-02-20
C00248,EE,Organic Search,2025-07-18
C00249,LV,Affiliate,2025-03-16
C00250,EE,Paid Social,2025-05-21
C00251,LT,Paid Social,2025-09-02
C00252,EE,Paid Search,2025-04-14
C00253,LT,Paid Social,2025-01-21
C00254,LV,Affiliate,2025-09-22
C00255,LV,Paid Social,2025-03-29
C00256,LV,Organic Search,2025-09-01
C00257,LV,Paid Social,2025-03-16
C00258,LT,CRM,2025-02-03
C00259,LT,Organic Search,2025-05-28
C00260,LT,Paid Search,2025-04-30
C00261,LV,Paid Social,2025-07-22
C00262,LT,Organic Search,2025-10-12
C00263,LT,Paid Social,2025-03-01
C00264,LV,Affiliate,2025-09-26
C00265,LT,Organic Search,2025-01-03
C00266,LT,Paid Search,2025-04-13
C00267,LV,Paid Social,2025-06-13
C00268,LV,Paid Search,2025-08-07
C00269,EE,CRM,2025-08-27
C00270,LV,Paid Social,2025-03-29
C00271,LV,Paid Search,2025-03-23
C00272,LT,Affiliate,2025-02-15
C00273,LV,Organic Search,2025-07-21
C00274,LV,Organic Search,2025-08-01
C00275,LV,Paid Search,2025-02-15
C00276,LT,Paid Social,2025-06-19
C00277,LT,Organic Search,2025-05-30
C00278,LT,CRM,2025-01-17
C00279,LV,CRM,2025-06-26
C00280,LV,Organic Search,2025-08-31
C00281,LV,Paid Search,2025-02-20
C00282,LT,CRM,2025-01-07
C00283,EE,Organic Search,2025-03-03
C00284,LT,Affiliate,2025-05-22
C00285,LV,Organic Search,2025-08-15
C00286,LV,CRM,2025-02-05
C00287,LT,Affiliate,2025-04-08
C00288,LT,Paid Search,2025-10-04
C00289,LT,Paid Social,2025-01-24
C00290,EE,Paid Search,2025-09-12
C00291,LT,Organic Search,2025-06-21
C00292,LT,Paid Search,2025-09-07
C00293,LV,Paid Search,2025-01-20
C00294,LT,CRM,2025-10-04
C00295,LV,Paid Social,2025-06-21
C00296,LT,Organic Search,2025-06-16
C00297,LV,Paid Social,2025-04-21
C00298,EE,Paid Social,2025-04-21
C00299,LV,Paid Search,2025-08-29
C00300,EE,Paid Social,2025-03-12
C00301,LT,Affiliate,2025-07-06
C00302,LV,Affiliate,2025-09-15
C00303,LV,Paid Search,2025-02-09
C00304,LV,Paid Social,2025-01-11
C00305,LV,Organic Search,2025-06-06
C00306,LT,Paid Social,2025-03-31
C00307,EE,Affiliate,2025-03-21
C00308,LT,Affiliate,2025-03-13
C00309,LT,CRM,2025-04-11
C00310,LV,Organic Search,2025-08-07
C00311,EE,Paid Social,2025-08-06
C00312,LV,CRM,2025-05-29
C00313,LT,Paid Social,2025-02-04
C00314,LV,Paid Social,2025-03-11
C00315,LT,Organic Search,2025-03-27
C00316,LV,Paid Social,2025-06-24
C00317,LV,Paid Social,2025-03-02
C00318,LV,Paid Social,2025-08-09
C00319,LT,Paid Search,2025-06-29
C00320,LT,Paid Search,2025-10-24
C00321,LV,Paid Search,2025-03-11
C00322,LV,Paid Social,2025-08-08
C00323,LV,Organic Search,2025-02-13
C00324,LV,CRM,2025-09-13
C00325,LV,Paid Social,2025-03-04
C00326,LV,Organic Search,2025-02-09
C00327,EE,Paid Search,2025-08-09
C00328,LT,Paid Social,2025-09-11
C00329,LV,Paid Social,2025-07-02
C00330,LV,Organic Search,2025-01-20
C00331,LV,Organic Search,2025-06-22
C00332,EE,Organic Search,2025-05-28
C00333,LV,CRM,2025-06-04
C00334,LT,Paid Social,2025-04-06
C00335,LV,Paid Search,2025-06-03
C00336,EE,Paid Social,2025-01-11
C00337,LV,Organic Search,2025-09-14
C00338,LV,Paid Social,2025-07-08
C00339,EE,Affiliate,2025-06-04
C00340,EE,Affiliate,2025-08-30
C00341,LT,Paid Search,2025-05-08
C00342,LV,Organic Search,2025-06-17
C00343,LV,Organic Search,2025-01-08
C00344,LV,CRM,2025-01-15
C00345,LT,CRM,2025-05-12
C00346,LV,Paid Social,2025-07-15
C00347,LV,Organic Search,2025-03-14
C00348,LT,Paid Social,2025-03-26
C00349,LV,Affiliate,2025-09-11
C00350,LV,Paid Search,2025-09-18
C00351,LV,Paid Social,2025-09-03
C00352,LV,Paid Search,2025-05-25
C00353,LV,Paid Search,2025-07-18
C00354,LV,Paid Social,2025-07-08
C00355,LV,Paid Social,2025-09-02
C00356,LT,Paid Social,2025-08-26
C00357,LV,CRM,2025-08-19
C00358,LV,CRM,2025-07-04
C00359,LV,Paid Search,2025-08-16
C00360,LT,Organic Search,2025-08-28
C00361,LT,Paid Social,2025-02-14
C00362,EE,Paid Social,2025-03-23
C00363,LT,CRM,2025-10-13
C00364,LT,Organic Search,2025-02-22
C00365,LT,Paid Search,2025-09-29
C00366,LT,Paid Social,2025-02-05
C00367,EE,Affiliate,2025-09-24
C00368,LV,CRM,2025-08-05
C00369,LT,Paid Social,2025-01-17
C00370,LV,CRM,2025-09-08
C00371,LT,Paid Social,2025-08-19
C00372,EE,Affiliate,2025-05-23
C00373,EE,Organic Search,2025-09-01
C00374,LV,Organic Search,2025-06-14
C00375,LV,Paid Search,2025-02-15
C00376,LV,Paid Social,2025-07-12
C00377,EE,Organic Search,2025-01-22
C00378,EE,CRM,2025-04-19
C00379,LV,Paid Social,2025-06-18
C00380,LT,Organic Search,2025-02-09
C00381,LV,Paid Social,2025-04-09
C00382,EE,Paid Search,2025-09-10
C00383,EE,Paid Social,2025-07-28
C00384,LV,Affiliate,2025-01-13
C00385,LV,Paid Social,2025-08-08
C00386,LT,Paid Search,2025-06-09
C00387,LV,Paid Social,2025-10-14
C00388,LT,Affiliate,2025-04-25
C00389,LV,Paid Social,2025-04-23
C00390,EE,Paid Search,2025-03-15
C00391,LT,Paid Social,2025-06-14
C00392,LV,Affiliate,2025-10-20
C00393,LV,Paid Social,2025-07-29
C00394,LT,Affiliate,2025-02-20
C00395,LV,Organic Search,2025-03-12
C00396,LV,Organic Search,2025-04-01
C00397,LV,Paid Search,2025-06-17
C00398,LT,Paid Social,2025-08-22
C00399,EE,Paid Search,2025-10-19
C00400,LV,CRM,2025-03-04
C00401,LV,Paid Search,2025-04-09
C00402,LT,Paid Search,2025-04-19
C00403,LV,Paid Search,2025-06-16
C00404,LT,Affiliate,2025-05-08
C00405,LV,Paid Search,2025-05-08
C00406,LT,CRM,2025-09-04
C00407,LV,Paid Social,2025-10-15
C00408,EE,Affiliate,2025-07-11
C00409,EE,CRM,2025-06-28
C00410,LT,Organic Search,2025-05-14
C00411,LT,Affiliate,2025-02-15
C00412,LV,Paid Search,2025-08-02
C00413,LV,CRM,2025-04-09
C00414,LV,Paid Search,2025-05-01
C00415,EE,Paid Social,2025-06-22
C00416,EE,CRM,2025-02-21
C00417,LT,Organic Search,2025-01-02
C00418,LT,Paid Social,2025-07-15
C00419,LT,Paid Search,2025-07-08
C00420,LT,Organic Search,2025-04-24
C00421,LT,CRM,2025-01-18
C00422,EE,CRM,2025-06-03
C00423,LT,Paid Social,2025-02-15
C00424,LV,Paid Search,2025-06-16
C00425,LT,Paid Search,2025-03-02
C00426,EE,Paid Search,2025-03-05
C00427,LV,Paid Social,2025-06-10
C00428,EE,Organic Search,2025-04-21
C00429,LT,Organic Search,2025-09-19
C00430,LV,Paid Search,2025-03-05
C00431,LV,CRM,2025-09-30
C00432,LV,Paid Social,2025-04-28
C00433,LV,Paid Social,2025-09-10
C00434,LV,Paid Social,2025-03-10
C00435,LV,Paid Search,2025-10-19
C00436,LT,Paid Social,2025-07-01
C00437,LV,CRM,2025-05-09
C00438,LV,Paid Social,2025-08-11
C00439,LV,Paid Social,2025-09-11
C00440,LV,Paid Social,2025-09-06
C00441,LV,Organic Search,2025-02-22
C00442,LV,Paid Social,2025-09-19
C00443,LV,Paid Social,2025-02-21
C00444,LT,Paid Social,2025-09-28
C00445,LV,Paid Social,2025-02-20
C00446,EE,CRM,2025-10-14
C00447,LV,Organic Search,2025-04-16
C00448,LT,Organic Search,2025-03-29
C00449,EE,Paid Search,2025-03-01
C00450,LT,Paid Search,2025-07-02
C00451,EE,Paid Search,2025-05-18
C00452,LV,Paid Social,2025-04-03
C00453,EE,Affiliate,2025-02-21
C00454,LT,CRM,2025-02-13
C00455,LV,Paid Social,2025-09-19
C00456,LV,Affiliate,2025-02-13
C00457,LT,Paid Search,2025-03-17
C00458,LV,Paid Social,2025-06-13
C00459,LV,Organic Search,2025-08-04
C00460,EE,Affiliate,2025-01-31
C00461,LV,Paid Search,2025-03-13
C00462,LV,Paid Search,2025-02-17
C00463,EE,Paid Social,2025-06-10
C00464,LV,Organic Search,2025-02-03
C00465,LV,Paid Social,2025-06-08
C00466,LT,CRM,2025-01-13
C00467,LV,Organic Search,2025-07-18
C00468,LT,Paid Social,2025-03-28
C00469,LT,Organic Search,2025-05-06
C00470,LV,Paid Social,2025-06-12
C00471,LV,Paid Search,2025-07-14
C00472,LV,CRM,2025-08-20
C00473,LV,Affiliate,2025-03-17
C00474,LV,CRM,2025-04-07
C00475,LV,Affiliate,2025-09-15
C00476,LT,Organic Search,2025-02-20
C00477,LV,Organic Search,2025-03-20
C00478,LV,Organic Search,2025-04-24
C00479,LV,Affiliate,2025-03-04
C00480,LV,Affiliate,2025-02-09
C00481,EE,Affiliate,2025-09-05
C00482,EE,Paid Social,2025-07-21
C00483,LV,Organic Search,2025-07-11
C00484,LV,Organic Search,2025-09-27
C00485,EE,Paid Social,2025-05-21
C00486,EE,Paid Social,2025-07-26
C00487,LT,Paid Search,2025-06-02
C00488,EE,CRM,2025-05-13
C00489,LV,CRM,2025-05-05
C00490,EE,CRM,2025-09-20
C00491,LV,Paid Social,2025-05-17
C00492,LV,Paid Social,2025-02-20
C00493,LV,Paid Search,2025-01-19
C00494,LT,Paid Search,2025-04-15
C00495,LV,Paid Social,2025-08-22
C00496,LT,Affiliate,2025-10-26
C00497,EE,Paid Social,2025-09-09
C00498,LT,Organic Search,2025-08-09
C00499,EE,CRM,2025-03-31
C00500,LT,Organic Search,2025-06-27
C00501,LV,CRM,2025-01-08
C00502,LT,Paid Social,2025-10-15
C00503,LV,Organic Search,2025-07-17
C00504,LV,Paid Social,2025-04-13
C00505,LT,Paid Social,2025-07-03
C00506,LT,Paid Social,2025-10-06
C00507,LT,Paid Social,2025-10-15
C00508,LV,Affiliate,2025-06-03
C00509,LV,Paid Search,2025-03-14
C00510,LV,Paid Social,2025-08-16
C00511,LT,Paid Search,2025-03-19
C00512,LV,Paid Social,2025-04-03
C00513,LV,Organic Search,2025-09-13
C00514,LV,CRM,2025-01-03
C00515,LT,Organic Search,2025-03-12
C00516,EE,Paid Search,2025-10-22
C00517,LV,Paid Search,2025-06-21
C00518,LV,Paid Social,2025-04-27
C00519,LT,Organic Search,2025-03-01
C00520,LV,CRM,2025-10-02
C00521,LT,CRM,2025-07-02
C00522,LT,CRM,2025-07-16
C00523,EE,Affiliate,2025-04-21
C00524,LV,Affiliate,2025-05-02
C00525,LV,Organic Search,2025-01-07
C00526,LV,Organic Search,2025-02-10
C00527,LV,Organic Search,2025-01-26
C00528,LT,Paid Search,2025-05-01
C00529,LT,CRM,2025-03-15
C00530,LV,Paid Search,2025-06-10
C00531,EE,Affiliate,2025-04-25
C00532,EE,Paid Social,2025-05-05
C00533,LV,Paid Social,2025-07-05
C00534,LT,Paid Social,2025-03-02
C00535,LT,Organic Search,2025-08-29
C00536,EE,Paid Search,2025-07-01
C00537,LV,Paid Search,2025-05-21
C00538,LV,Affiliate,2025-10-04
C00539,EE,Paid Social,2025-02-26
C00540,LT,Paid Social,2025-09-17
C00541,LV,Organic Search,2025-01-19
C00542,LV,Paid Social,2025-05-07
C00543,LT,Paid Search,2025-05-18
C00544,LV,Paid Search,2025-09-06
C00545,LT,Organic Search,2025-01-26
C00546,EE,Paid Search,2025-01-11
C00547,LV,CRM,2025-10-05
C00548,LT,Affiliate,2025-10-01
C00549,LV,Paid Search,2025-07-09
C00550,LV,CRM,2025-09-25
C00551,EE,Paid Social,2025-02-09
C00552,LT,Organic Search,2025-03-13
C00553,LV,Organic Search,2025-08-31
C00554,LT,Paid Search,2025-10-14
C00555,LV,Organic Search,2025-05-22
C00556,LT,Paid Search,2025-10-14
C00557,LV,Paid Search,2025-03-20
C00558,LT,Affiliate,2025-07-26
C00559,LT,Paid Social,2025-01-02
C00560,LT,CRM,2025-04-22
C00561,LV,Paid Social,2025-07-06
C00562,LV,CRM,2025-05-28
C00563,LV,Paid Social,2025-06-15
C00564,LV,Affiliate,2025-04-06
C00565,LV,Paid Social,2025-01-28
C00566,LT,Paid Search,2025-03-07
C00567,LV,Organic Search,2025-05-01
C00568,LV,Paid Search,2025-07-16
C00569,LT,Paid Search,2025-07-25
C00570,LV,Paid Search,2025-08-06
C00571,LV,Paid Search,2025-09-08
C00572,LV,Paid Search,2025-02-27
C00573,LV,Paid Social,2025-05-05
C00574,LT,CRM,2025-02-10
C00575,LV,Paid Search,2025-06-16
C00576,LV,Paid Social,2025-08-16
C00577,LV,CRM,2025-09-29
C00578,LT,Paid Social,2025-09-09
C00579,EE,Paid Social,2025-01-15
C00580,EE,Paid Search,2025-07-19
C00581,LV,Paid Search,2025-10-23
C00582,LV,Affiliate,2025-01-04
C00583,LV,Affiliate,2025-08-14
C00584,LV,Paid Search,2025-09-05
C00585,LT,Organic Search,2025-03-13
C00586,LT,Paid Search,2025-03-07
C00587,LV,Affiliate,2025-06-26
C00588,LV,Affiliate,2025-06-25
C00589,LT,Paid Social,2025-01-17
C00590,LT,Paid Search,2025-05-06
C00591,LV,Paid Search,2025-10-27
C00592,LT,Organic Search,2025-08-22
C00593,LV,Organic Search,2025-06-16
C00594,EE,Paid Search,2025-05-05
